volume_number,number,speechiness,key,time_signature,liveness,loudness,duration_ms,danceability,duration,valence,acousticness,energy,tempo,instrumentalness,mode,artist,title
56,21,0.0268,1,4,0.0845,-6.666,249573,0.568,246,0.182,0.343,0.644,94.041,0,1,Parson James,Temple
56,22,0.0489,1,4,0.0897,-4.234,208785,0.69,209,0.459,0.0457,0.704,99.961,1.03E-05,0,Skylar Stecker,Crazy Beautiful
57,1,0.0476,0,4,0.308,-3.724,200787,0.605,198,0.396,0.0865,0.768,100.209,0,0,Justin Bieber,Sorry
57,2,0.0669,10,4,0.116,-6.197,205746,0.606,203,0.308,0.00182,0.763,130.018,0.000159,0,Demi Lovato,Confident
57,3,0.291,3,4,0.446,-6.006,211360,0.681,208,0.806,0.266,0.879,99.955,0,0,Ariana Grande,Focus
57,4,0.0537,2,4,0.0861,-6.574,213445,0.697,207,0.733,0.279,0.687,154.921,5.11E-06,0,Ellie Goulding,On My Mind
57,5,0.031,11,4,0.228,-4.005,229080,0.671,227,0.444,0.0236,0.596,98.025,0,0,Selena Gomez,Same Old Love
57,6,0.0499,7,4,0.128,-4.792,192191,0.688,191,0.731,0.0215,0.702,94.006,0,0,Flo Rida,My House
57,7,0.0699,0,4,0.137,-6.987,242253,0.54,237,0.123,0.0635,0.561,113.295,0,0,The Weeknd,The Hills
57,8,0.167,0,4,0.0694,-4.029,199453,0.375,197,0.353,0.0716,0.822,123.363,0,1,Alessia Cara,Here
57,9,,,,,,,,216,,,,,,,Taylor Swift,Wildest Dreams
57,10,0.0882,11,4,0.0733,-4.716,192376,0.885,189,0.481,0.225,0.801,95.011,1.65E-06,0,Daya,Hide Away
57,11,0.0502,4,4,0.0373,-5.439,219147,0.774,215,0.91,0.156,0.765,119.001,0,0,DNCE,Cake by the Ocean
57,12,0.0451,5,4,0.65,-3.646,189870,0.784,188,0.702,0.0377,0.882,120.017,0,1,Andy Grammer,Good to Be Alive (Hallelujah)
57,13,0.0359,7,4,0.149,-3.887,263787,0.638,263,0.515,0.00205,0.924,111.995,0.000173,1,Coldplay,Adventure of a Lifetime
57,14,0.203,11,4,0.27,-5.988,195199,0.4,194,0.567,0.0112,0.868,180.261,0.0685,0,X Ambassadors,Renegades
57,15,0.0344,1,4,0.115,-5.353,194453,0.667,190,0.479,0.403,0.613,91.024,0,1,Charlie Puth,One Call Away
57,16,0.0304,2,4,0.119,-9.377,227427,0.66,226,0.38,0.381,0.383,83.096,0,1,Thomas Rhett,Die a Happy Man
57,17,0.0406,0,4,0.0728,-6.135,197400,0.535,194,0.306,0.0105,0.632,78.98,8.6E-05,1,The Young Wild,Not a One
57,18,0.11,9,4,0.102,-5.015,243933,0.553,240,0.402,0.00338,0.936,144.884,1.35E-06,1,Ben Rector,Brand New
57,19,0.151,7,4,0.227,-3.362,218133,0.562,215,0.723,0.0297,0.923,149.188,0,1,The Score,Oh My Love
57,20,0.22,9,4,0.672,-4.745,224573,0.729,222,0.896,0.0177,0.714,90.009,0.000586,1,Frankie,New Obsession
57,21,0.161,6,4,0.135,-5.275,219253,0.495,217,0.425,0.00982,0.888,171.863,0.000136,0,Transviolet,New Bohemia
57,22,0.0404,11,4,0.109,-9.914,231802,0.797,229,0.715,0.0198,0.49,101.999,4.97E-06,0,Nicky Davey,Been Lovin' You
58,1,0.0351,1,4,0.0838,-6.331,211675,0.562,210,0.382,0.904,0.252,109.596,0,1,Kelly Clarkson,Piece by Piece (Idol version)
